gene_short_name,PFAL1,PFAL2,PFAL3,PFDR1,PFDR2,PFDR3
Socs2,2.31154,1.3438,6.0851,2.89522,2.56886,10.7179
Socs3,0.679244,1.02666,2.2416,0.801496,0.837386,0.445716
Socs4,3.88153,3.14829,2.56021,3.24379,4.7077,3.20389
Socs5,0.68184,0.623066,0.776756,0.752802,1.34492,0.894814
Socs6,7.76974,6.11257,6.35013,6.57223,6.21821,4.81737
Socs7,1.94988,1.66185,2.20568,1.42796,1.38529,2.39443
Sod1,1148.49,934.991,650.037,1037.98,1054.43,1010.57
Sod2,108.352,124.285,79.3014,123.138,107.426,83.9843
Sod3,7.099,8.17349,12.2481,5.85538,4.83986,2.98661
Sohlh1,0,0,0,0,0,0
Sohlh2,0,0,0,0,0,0
Solh,0.531093,0.240213,0.490189,0.751224,0.996946,1.22498
Son,31.7155,17.7498,21.3237,25.8906,29.2347,26.5079
Sorbs1,12.3322,12.4984,6.69328,5.95944,5.70836,3.34975
Sorbs2,22.2318,18.5114,30.3818,28.604,24.0837,28.417
Sorbs3,2.23738,1.79683,1.49075,2.12463,2.17593,1.18131
Sorcs1,0,0,0,0,0,0
Sorcs2,0.0210364,0.027532,0,0.00792868,0.0269968,0.0938533
Sorcs3,0.0895762,0,0,0,0.0415895,0
Sord,369.134,434.636,243.661,398.366,397.408,317.223
Sorl1,1.34504,0.550367,0.586566,0.624969,1.7431,0.695453
Sort1,2.94419,2.94822,3.27621,3.58596,2.9079,3.20669
Sos1,8.51661,6.5435,4.15675,8.42846,11.1865,6.888
Sos2,3.82129,3.02946,2.91161,3.04024,3.33283,3.2776
Sost,0.0227969,0,0,0,0,0
Sostdc1,0,0,0.131175,0,0,0
Sowaha,0.0566,0.132906,0.0664758,0.0473579,0.0362503,0
Sowahb,1.1048,0.785473,0.833173,1.72957,2.90151,1.20871
Sowahc,3.85966,3.63573,3.82623,3.91886,3.21776,3.96592
Sowahd,0,0,0,0,0,0
Sox1,0,0,0,0,0,0
Sox10,0,0,0,0,0,0
Sox11,0,0,0,0,0,0
Sox12,0.115771,0.06132,0.165812,0.298236,0.350981,0.480965
Sox13,0.686216,0.533679,1.26897,1.41818,0.629075,1.01434
Sox14,0,0,0,0,0,0
Sox15,0.117619,0,0,0,0,0
Sox17,0.19444,0.282746,0.342927,0.184879,0.112844,0.543779
Sox18,1.13012,0.37826,1.3477,0.550815,0.764351,0
Sox2,0,0,0,0,0,0
Sox21,0,0,0,0,0,0
Sox2ot,0,0.0227139,0,0,0,0
Sox3,0,0,0,0,0,0
Sox30,0.0379985,0,0,0,0,0
Sox4,0.718595,0.467393,0.974215,0.437979,0.302154,0.160377
Sox5,5.10948,3.11884,1.54977,3.88739,2.67249,3.83832
Sox6,3.22853,2.18931,1.70231,2.59859,3.3816,2.9882
Sox7,0.927499,1.01206,0.79091,0.65588,0.667138,0.243625
Sox8,0,0,0,0,0.0219021,0
Sox9,0.774558,0.497646,0.867202,0.924083,2.49837,0.372396
Sp1,14.3286,10.2722,11.8424,13.6048,19.4203,19.4376
Sp100,7.03341,5.63091,6.87085,4.06696,4.58207,3.19317
Sp110,1.70627,0.968882,0.956894,0.741434,0.63379,0.455769
Sp140,3.70278,3.55728,5.51786,2.1877,3.28048,3.92859
Sp2,0.653357,0.576394,0.379495,0.581352,0.616826,0.230112
Sp3,20.2435,18.4256,25.8317,21.5532,29.3348,18.4845
Sp4,2.57677,2.6978,1.87299,2.79294,2.86738,1.73664
Sp5,0.292778,0.412423,0,0.163497,0.0963596,0
Sp6,0,0,0,0,0,0
Sp7,0,0,0,0,0,0
Sp8,0,0,0,0,0,0
Sp9,0,0.156139,0.189973,0,0.164779,0
Spa17,0.811766,1.14232,1.39204,0.486111,0.647821,1.17499
Spaca1,0.0751204,0,0,0.0857541,0.202953,0
Spaca3,0,0,0,0,0,0
Spaca4,0,0,0,0,0,0
Spaca5,0,0,0,0,0,0
Spaca7,0,0,0,0,0,0
Spag1,0.0973125,0.0891393,0.290958,0.107086,0.097459,0.292157
Spag11a,0,0,0,0,0,0
Spag11b,0,0,0,0,0,0
Spag16,0,0,0,0.020119,0,0
Spag17,0.0935035,0,0.00529167,0,0.00443445,0
Spag4,0.377316,0.252184,0.300691,0.269293,0.537629,0.444672
