gene_short_name,Y(1),Y(2),Y(3),AL 15 (1),AL 15 (2),AL 15 (2),DR 15 (1),DR 15 (2),DR 15 (3),ALtoDR(1),ALtoDR(2),ALtoDR(3),DRtoAL(1),DRtoAL(2),DRtoAL(3)
Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grm6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sema4f,0.110348,0.197082,0.0393592,0.0139935,0,0,0,0,0.0550423,0,0.00304171,0.00798867,0,0,0.0201259
Hk2,0.142318,0.215579,0.12443,0.441857,0.470756,0.364322,0.099814,0.0718395,0.0902795,0.18109,1.13303,1.38555,1.96863,0.41525,0.486332
Myo18a,6.76677,6.71569,7.21188,7.18127,6.369,8.15526,8.20986,9.20218,6.88561,8.09966,7.33823,5.48792,6.65962,5.14368,6.01604
Sez6,0,0.0138117,0,0,0,0,0,0,0,0,0,0,0,0,0
Haao,174.028,148.439,169.639,136.989,218.089,155.094,128.708,146.945,117.094,128.754,123.72,36.8402,168.757,164.853,191.283
Cd52,7.24581,9.69589,6.84351,20.1653,18.0203,12.5778,9.24582,7.98616,16.856,5.12124,4.34201,2.95665,9.25162,6.32813,8.23381
Abhd15,1.46429,1.83775,3.04425,2.52483,3.54137,3.06681,3.44259,2.80238,1.98285,6.54618,6.53979,5.18399,4.10835,5.00229,5.80807
Hoxb6,0.104345,0.060403,0,0.0744148,0.0261978,0.126092,0.031194,0.0637771,0.0705609,0,0.119971,0.109847,0.0595588,0.187763,0.00553963
Loxl3,0.545378,0.41314,0.343848,0.968016,0.316225,0.233693,0.450856,0.418188,0.459628,0.202172,0.0762388,0.121197,0.235667,0.16025,0.191717
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,0.0134661,0.0150036,0,0,0,0,0.0121469,0,0,0,0,0,0,0,0
Kat2b,31.487,27.0919,31.644,32.4122,33.4873,32.7279,42.4783,47.2093,36.0637,55.1174,43.822,14.7079,29.9876,30.4147,24.3211
Rab5b,55.2926,49.0921,55.8618,54.3196,63.7911,58.6267,54.765,61.5356,46.2955,36.721,35.0575,15.8767,38.8792,38.5952,41.1406
Cryba1,0,0,0,0,0.0650034,0,0.0321121,0,0,0,0.0848516,0.19059,0,0,0
Dnmt3l,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175083,0
Aire,0,0,0,0,0,0,0.0362165,0,0,0.0249388,0,0.0149845,0.025869,0.0376045,0
Icosl,0.336804,0.174166,0.243672,0.443082,0.327071,0.408934,0.576955,0.359437,0.320173,0.0932177,0.151962,0.0597441,0.126041,0.0670058,0.307969
Spg7,7.32239,6.54974,9.9812,7.02514,8.78503,10.9517,7.22583,9.10415,11.591,17.5238,13.4829,7.56451,14.2061,12.2388,17.7477
Sult5a1,5.04781,4.15643,3.69808,0.938408,0.83389,1.58493,1.59143,1.23631,0,0.416956,0,0.203001,2.94343,0.658085,3.74094
Rpl13,381.415,350.374,443.225,279.056,370.389,306.924,412.256,484.606,494.17,281.335,419.673,161.486,262.04,196.047,273.066
Chmp1a,10.1755,7.25067,9.74348,10.3374,9.73353,9.28786,10.4726,10.7284,7.85513,10.8445,10.1092,4.961,12.1493,9.68664,12.2568
Rpa1,8.3659,8.89191,8.12322,7.32022,10.73,7.97296,5.78269,6.93622,5.35293,7.00073,7.90237,4.1768,6.75333,9.03918,7.92918
Serpinf1,153.803,126.977,132.118,115.624,166.605,153.797,175.955,189.699,160.61,191.957,149.254,48.4574,224.083,197.268,282.764
Tubgcp3,5.8139,3.99309,5.52062,3.99153,5.23806,4.37279,3.91715,4.72349,3.78224,3.82419,3.53114,2.68799,2.79683,2.8156,3.68021
Oprm1,0.0484513,0.0818731,0,0.021556,0,0,0,0,0,0,0,0,0,0,0
Polr3d,2.77056,2.60698,3.76855,2.14673,2.33136,2.20634,1.69896,2.13571,2.33749,1.48803,1.42164,2.0659,1.93375,1.38593,2.09998
Tcf7,1.21331,1.08276,1.64896,1.38207,1.40163,2.04678,1.77562,2.54543,2.54341,0.630136,0.681109,0.575764,0.526536,0.709331,0.265404
Ddx3x,57.7213,50.0284,48.8415,42.2818,52.7166,49.5595,64.3359,75.4727,64.1192,129.658,88.9708,84.6109,75.8416,61.0066,54.7314
Il12rb1,0.0462111,0.0657282,0.124691,0.0819685,0.0486035,0.0650113,0.193841,0.297108,0.0446325,0.164023,0.0815186,0.253009,0.141704,0,0.258329
Slc5a5,0,0,0,0,0.0133447,0,0,0,0,0,0,0,0,0,0
Kcnn3,0,0.0173282,0.26352,0,0,0,0.0437408,0,0,0,0,0.0109866,0.07175,0,0.0254429
Usp32,6.8729,5.28013,5.20092,4.91735,7.43114,6.61465,5.92025,6.79891,4.53627,11.5699,7.98556,5.99962,12.1297,9.35455,7.26811
Car4,0.072339,0,0,0,0,0.0608868,0,0,0,0,0,0.158574,0,0.17299,0
Txnrd3,1.83931,1.64304,1.95257,1.82925,2.88391,1.61686,2.24169,2.48076,2.0945,4.3884,4.89174,2.93804,2.99672,3.64658,3.20234
Fasl,0.023321,0.127857,0.201017,0,0.390045,0.0791084,0.166794,0.154385,0.228754,0.0400108,0,0.0384169,0,0.0577351,0.030648
Znf512b,2.88575,2.55017,2.74848,1.80407,2.73024,2.61582,3.29673,4.92943,2.61669,3.9879,2.59918,2.93626,1.64296,2.15437,2.08633
Dnajc5,9.93247,7.93949,11.2388,9.38915,10.7515,9.74442,9.1615,10.1539,8.36492,11.2623,10.426,7.65106,13.4722,11.1839,17.8183
Tpd52l2,16.8794,12.1135,13.21,12.1027,16.6404,13.2318,15.7401,14.2464,12.9525,16.9967,14.8242,8.36937,12.5832,10.8611,19.5359
Fmr1,7.43066,6.55235,6.86436,7.14696,8.80522,8.45918,7.10412,10.2744,7.46118,8.10348,6.97753,8.5339,6.60128,7.13727,6.14951
Bcl11a,0.0502949,0.0414945,0.0652579,0.0158141,0.0533511,0.0523941,0.116537,0,0.0107369,0.063976,0.0461259,0.00503544,0.112151,0.263537,0.034496
Il4,0,0,0,0,0,0.313201,0,0,0,0.180594,0,0,0,0.179553,0
Pxmp4,89.0397,86.2037,77.0011,56.2992,68.8681,58.1914,36.3407,43.5134,42.3358,27.7064,23.9993,12.7283,38.9374,35.5042,42.703
Dlg3,3.24888,2.54848,2.0721,3.44612,3.1621,3.12182,2.98605,3.00678,3.27442,6.52333,7.19862,2.70912,4.57991,5.38812,5.75967
Gnb1l,0.733372,0.598094,0.444374,0.759021,0.818793,0.825278,0.434342,0.652077,0.490412,0.200032,0.33472,0.10463,0.406715,0.0671131,0.252598
